img_path,lat,lon,class_label
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image679.png,34.982533526973675,127.89682734928492,0
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image13.png,9.935597440311518,-84.10961001573514,1
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image244.png,50.74270951159036,5.730668199663829,2
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image423.png,32.76164110498306,35.31415057588795,3
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image719.png,54.396609774991845,22.785433192495105,4
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image524.png,43.74735011710909,7.434110781942077,5
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image746.png,1.918763644765251,103.17394559360903,6
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image347.png,-16.245854645779655,-69.09223167936473,7
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image74.png,1.3451971783987826,103.70719509968303,6
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image416.png,47.36813059102506,39.6443182282155,8
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image199.png,42.865074791195774,23.110047453142915,8
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image19.png,58.43641633474535,23.726004874003923,4
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image133.png,-31.46274872941637,152.82411936665648,9
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image75.png,-35.31885814611013,139.8064492015621,9
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image827.png,11.72311894132282,104.51295061912394,10
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image1.png,18.962018852031772,-96.27895557318334,11
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image277.png,57.493938417012295,10.482657531455228,12
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image247.png,41.08811096021555,24.780040670341,13
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image513.png,52.14080191514772,-10.26700743460227,14
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image286.png,7.218491812288615,5.60396073828505,15
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image610.png,18.46240873842868,-69.69864128591364,1
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image618.png,25.101523167130367,55.34610159486988,16
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image592.png,5.632642695650573,-73.52897254655329,1
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image153.png,45.66818804943573,13.102239294958656,17
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image754.png,16.803486400261974,120.82123814971489,18
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image552.png,-40.73423500913513,-64.96669347722755,19
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image578.png,45.971529533904814,15.084807856391931,17
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image515.png,36.94859989954755,10.078671701124197,5
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image769.png,50.12195363602002,8.580344278919279,20
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image653.png,63.70113501402392,19.62141259824108,12
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image745.png,-32.92140676039776,141.60734892614613,9
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image380.png,-41.44427576173487,175.2179902961369,21
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image103.png,55.56406649999759,-3.657895437283524,14
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image430.png,42.08867410407939,19.2662994499488,22
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image494.png,58.94499151413997,-2.73466282259378,14
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image820.png,6.566113481500387,80.52685333072505,23
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image92.png,39.04638095223393,-8.69546662502589,24
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image568.png,34.894026170535575,126.55817459597162,0
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image826.png,49.9870590506899,27.16923931731608,25
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image80.png,-21.307289865445565,55.49897796192566,26
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image747.png,67.28965092527899,19.09184537596261,27
/home/jupyter/mnt/datasets/honor/14-12-2022 07-29-03/image97.png,-29.523097778368086,28.60640460562894,28
