class_label,hex_id,imgs_per_cell,latitude_mean,longitude_mean
0,354,211,35.73286857911077,128.62101127804152
1,8f,270,11.118126963473367,-76.12382097162498
2,47d,309,51.308883728598396,4.717900504113849
3,154,306,32.116012504190834,35.334730064287704
4,46f,255,56.508554754270286,23.492426799355858
5,12c,205,40.89378972047873,6.141131504184636
6,31c,258,2.258090740594501,104.16374832470107
7,91,248,-8.289143526425864,-76.26863666016
8,41,352,45.025569793478546,32.306944374070625
9,6b,78,-30.98424170966817,146.13469066860503
10,314,239,13.854163315814626,103.8669634693807
11,85,119,16.867958776584402,-94.31559601578253
12,464,410,59.475024010252014,12.366578423678765
13,14c,218,39.508230837986865,26.530080254739698
14,49,376,55.779272562208135,-7.793798365835112
15,11,196,7.84493470581756,5.594906195846117
16,3f,162,24.716979309210036,55.34194715793291
17,477,439,46.78456642420009,15.252148895723122
18,33,256,9.661877514295417,121.7907843119946
19,95,207,-30.755662471842896,-57.18176977885483
20,47b,142,52.04919109321383,8.571077037383766
21,6d,108,-39.54397862388559,174.41672647897678
22,135,259,41.092313337537995,20.35367792851085
23,3b,142,11.596141911886948,79.18161599337259
24,0d,220,39.27508068879672,-6.632305468220691
25,473,176,49.20583191741268,23.636867458882207
26,21,56,-21.14167885202796,55.48225544240337
27,45,112,67.60405924213981,24.46899594097001
28,1f,262,-27.07977034245465,28.33343299112315
29,344,367,23.167399168233523,117.32895358408763
30,475,274,45.62671987227642,21.163516487639292
31,304,66,5.969853024087178,99.70236360832706
32,2d,54,-6.4965308624293,119.62058497072047
33,5d,155,48.09918021539301,105.16004322283959
34,71,11,-14.269917292197336,-170.40340624077098
35,97,146,-34.691919778917594,-71.32989176218078
36,1d,50,-31.54839046744019,20.275009155601914
37,2b,27,-31.07589458372904,117.82004359577533
38,61,62,35.40962769167116,138.27873425494695
39,19,138,-3.9480589133397626,34.60583394180772
40,39,241,32.359475760467205,80.62184589921971
41,131,170,36.05732903999034,13.442758223994502
42,93,118,-16.180390157517877,-62.39507558476094
43,13c,34,31.402867728067765,13.927087659372743
44,479,302,47.5676051542035,8.072704924326342
45,4d,41,47.25265726225164,-72.2188136967904
46,87,76,32.83112799834999,-100.45816226037152
47,47f,94,48.34650501690601,3.5424929104603873
48,0f,194,11.550378247012988,-10.05711862357559
49,471,247,50.67016828304661,17.039158620635842
50,30c,104,17.56695361878101,98.44067945906312
51,2f,51,-5.266122594561466,105.22657252273174
52,43,31,56.00753972423694,70.33243694174585
53,46b,14,58.4851238886505,34.487632221848976
54,53,53,50.987907393500784,-108.47606499350064
55,37,114,25.663188615121694,91.04938437472714
56,89,55,38.793521423077934,-81.31422820493148
57,81,28,36.29051486902474,-119.01089399201362
58,469,210,61.13423215257372,24.475573193347138
59,07,28,-9.947285203957884,-39.016292252876426
60,a9,19,-45.54301561263341,169.4392610389759
61,5f,104,41.15372352434448,139.78565047500348
62,ab,21,-41.44029081335118,146.27305591630875
63,17,170,2.050661577087156,34.17124601791587
64,8d,61,18.18159623326737,-65.8584432806964
65,133,102,42.64732056863037,13.420271715117627
66,46d,67,55.167755272859424,27.352661986260525
67,55,32,47.948538925262056,-122.67843447945422
68,4b,16,45.89678285122567,-61.381474482093196
69,67,70,13.685947261611087,144.91312870237292
70,01,13,-20.66021448183215,-42.44254120899343
71,124,14,33.620018791086174,10.300830479230175
72,bd,24,-48.85064750000914,-70.02285596623926
73,137,11,37.45701790312451,20.958020496744776
74,144,98,26.307731253676472,28.390382581807142
