class_label,hex_id,imgs_per_cell,latitude_mean,longitude_mean
0,471,82,50.51362793050076,16.79199805680031
1,3b,47,11.719260260008179,79.50797241951797
2,46d,27,55.36338046822684,27.064644663417674
3,40c,72,44.71562375969557,28.660493003603296
4,467,45,63.49547561425996,15.739862555270507
5,469,87,61.12088368087116,24.375860498676815
6,46f,81,56.50142143243274,23.336881860233223
7,465,78,57.196077965204545,12.291486602151322
8,154,99,31.890314092981264,35.344658377619965
9,133,32,42.78757546828393,13.44631628062934
10,5d,59,48.106376154245446,105.14363009012521
11,47c4,96,51.02836651586029,4.94768183464448
12,473,61,49.3273127116595,23.576926639598824
13,475,94,45.58979571451808,21.28955696233762
14,479c,22,47.687959245526486,9.783183725404724
15,33,99,9.409066952617662,121.55445164808478
16,4794,49,48.87868471664447,6.917672565338823
17,37,41,25.114589035125977,91.14483911681882
18,5f,37,40.77151058139018,140.19616814688553
19,47b,45,51.868282329222694,8.587644236493587
20,17,96,3.01291600109688,34.09866652850765
21,31d,79,1.9881927813563205,103.29674285680943
22,47f,31,48.83850083265112,3.8268859138495634
23,3f,62,23.829661779799544,55.305886294655096
24,67,31,13.579188817726147,144.84905466804042
25,14c,79,39.29714548473126,27.238407807703553
26,12c,61,40.99739355076519,5.930725580011336
27,347,50,23.929083794071676,120.90236975113669
28,39,71,32.23298243287773,79.42244813193473
29,314,85,14.097212692084515,104.0049011948365
30,341,59,22.35637898188584,114.02470494321194
31,11,67,7.987158926882337,6.292039989549551
32,131,60,36.11048283142212,13.319324546926845
33,354,69,35.792544291215314,128.35642005956709
34,135,89,40.93835621314757,20.38456834077983
35,45,36,67.27046371515391,24.52831460432752
36,476c,56,47.33988991263015,16.622300554684475
37,4774,27,47.94119612180325,13.96247916103246
38,4764,42,45.67873215474041,15.491053634355106
39,144,98,26.307731253676483,28.390382581807156
40,61,28,35.37958737289199,138.20890987896735
41,30c,35,16.683881951219437,99.15177727623445
