class_label,hex_id,imgs_per_cell,latitude_mean,longitude_mean
0,35,596,27.809575577178652,121.45795668018175
1,8f,270,11.118126963473367,-76.12382097162498
2,47d,309,51.308883728598396,4.717900504113849
3,15,622,33.791723170134745,31.154730527688702
4,46c,546,58.17381236648742,24.626180235575035
5,12c,205,40.89378972047873,6.141131504184636
6,31,667,9.167475141673249,102.7235952006701
7,91,248,-8.289143526425864,-76.26863666016
8,41,352,45.025569793478546,32.306944374070625
9,6b,78,-30.98424170966817,146.13469066860503
10,85,119,16.867958776584402,-94.31559601578253
11,464,410,59.475024010252014,12.366578423678765
12,49,376,55.779272562208135,-7.793798365835112
13,11,196,7.84493470581756,5.594906195846117
14,3f,162,24.716979309210036,55.34194715793291
15,477,439,46.78456642420009,15.252148895723122
16,33,256,9.661877514295417,121.7907843119946
17,95,207,-30.755662471842896,-57.18176977885483
18,47b,142,52.04919109321383,8.571077037383766
19,6d,108,-39.54397862388559,174.41672647897678
20,134,542,39.731935398810656,16.893500778541625
21,3b,142,11.596141911886948,79.18161599337259
22,0d,220,39.27508068879672,-6.632305468220691
23,473,176,49.20583191741268,23.636867458882207
24,21,56,-21.14167885202796,55.48225544240337
25,45,112,67.60405924213981,24.46899594097001
26,1f,262,-27.07977034245465,28.33343299112315
27,475,274,45.62671987227642,21.163516487639292
28,2d,54,-6.4965308624293,119.62058497072047
29,5d,155,48.09918021539301,105.16004322283959
30,71,11,-14.269917292197336,-170.40340624077098
31,97,146,-34.691919778917594,-71.32989176218078
32,1d,50,-31.54839046744019,20.275009155601914
33,2b,27,-31.07589458372904,117.82004359577533
34,61,62,35.40962769167116,138.27873425494695
35,19,138,-3.9480589133397626,34.60583394180772
36,39,241,32.359475760467205,80.62184589921971
37,93,118,-16.180390157517877,-62.39507558476094
38,13c,34,31.402867728067765,13.927087659372743
39,479,302,47.5676051542035,8.072704924326342
40,4d,41,47.25265726225164,-72.2188136967904
41,87,76,32.83112799834999,-100.45816226037152
42,47f,94,48.34650501690601,3.5424929104603873
43,0f,194,11.550378247012988,-10.05711862357559
44,471,247,50.67016828304661,17.039158620635842
45,2f,51,-5.266122594561466,105.22657252273174
46,43,31,56.00753972423694,70.33243694174585
47,53,53,50.987907393500784,-108.47606499350064
48,37,114,25.663188615121694,91.04938437472714
49,89,55,38.793521423077934,-81.31422820493148
50,81,28,36.29051486902474,-119.01089399201362
51,07,28,-9.947285203957884,-39.016292252876426
52,a9,19,-45.54301561263341,169.4392610389759
53,5f,104,41.15372352434448,139.78565047500348
54,ab,21,-41.44029081335118,146.27305591630875
55,17,170,2.050661577087156,34.17124601791587
56,8d,61,18.18159623326737,-65.8584432806964
57,55,32,47.948538925262056,-122.67843447945422
58,4b,16,45.89678285122567,-61.381474482093196
59,67,70,13.685947261611087,144.91312870237292
60,01,13,-20.66021448183215,-42.44254120899343
61,124,14,33.620018791086174,10.300830479230175
62,bd,24,-48.85064750000914,-70.02285596623926
